Basin,Epoch,Sample ID,d13C TOC,ACL,CPI,di/(di+alkanes)
Bighorn Basin,Eocene,BHB-02-046,-26.8,29.8300378,2.429871677,0.49
Bighorn Basin,Eocene,BHB-02-047,-28.1,29.53838562,2.566544508,0.04
Bighorn Basin,Eocene,BHB-02-048,-28,29.42322827,1.890814721,0.01
Bighorn Basin,Eocene,BHB-02-049,-27.5,29.39951,2.295119428,0.08
Bighorn Basin,Eocene,BHB-02-050,-27.5,29.26446771,2.209480575,0.39
Bighorn Basin,Eocene,BHB-02-051,-27.4,29.19231361,3.075502217,0.37
Bighorn Basin,Eocene,BHB-02-052,-27.9,29.64335503,2.294922708,0
Bighorn Basin,Eocene,BHB-02-053,-27.8,29.39320041,3.896039383,0.01
Bighorn Basin,Eocene,BHB-02-054,-27.7,29.45126359,2.009644679,0.15
Bighorn Basin,Eocene,BHB-02-055,-28.2,29.70872252,2.361644394,0.03
Bighorn Basin,Eocene,BHB-07-001,-25.7,28.60246051,1.528581529,0
Bighorn Basin,Eocene,BHB-07-002,-26.8,29.21482342,2.499379624,0.07
Bighorn Basin,Eocene,BHB-07-005,-26.5,28.68466638,1.77044935,0.11
Bighorn Basin,Eocene,BHB-07-006,-26.4,28.92272186,3.439023142,0.18
Bighorn Basin,Eocene,BHB-02-038,-26.8,29.12864553,3.532103824,0
Bighorn Basin,Eocene,BHB-02-039,-26.5,29.3258057,3.9110219,0.02
Bighorn Basin,Eocene,BHB-02-040,-26.6,29.23273868,3.824860823,0.01
Bighorn Basin,Eocene,BHB-02-041,-27,29.29824815,3.23896384,0.02
Bighorn Basin,Eocene,CAB6-04-04,-26.4,29,4.2,
Bighorn Basin,Eocene,SW0905,-26.5,28.5,4.5,
Bighorn Basin,Eocene,SW0306,-25.8,28.9,4.6,
Bighorn Basin,Eocene,SW0817,-26.7,28,4.1,
Bighorn Basin,Eocene,SW1011,-26.8,28.2,5,
Bighorn Basin,Eocene,SW1001,-28.9,28.1,5.2,
Bighorn Basin,Eocene,Wing 0902A,-25.8,29.6,3.6,
Bighorn Basin,Eocene,SW0809,-25.5,29.8,3.3,
Bighorn Basin,Eocene,SW0907,-26.6,28.9,4.4,
Bighorn Basin,PETM,SW0813,-29.2,28.3,4.4,
Bighorn Basin,PETM,CAB6-04-01.1,-28.5,29.6,4.1,
Bighorn Basin,PETM,SW1006,-30.3,28.9,3.8,
Bighorn Basin,PETM,SW0802,-30.4,28.9,3.4,
Bighorn Basin,PETM,PP0811,-29.2,29.9,3.3,
Bighorn Basin,PETM,SW1007,-27.7,29.2,2.8,
Bighorn Basin,PETM,SW0906,-28.1,30.3,3.1,
Bighorn Basin,PETM,SW0805,-27.3,30,3.4,
Bighorn Basin,PETM,SW1010,-28,29.1,3.6,
Bighorn Basin,PETM,SW1009,-25.3,29.8,2.7,
Bighorn Basin,PETM,SW1003,-31.4,29.7,3.6,
Bighorn Basin,PETM,NUHS0817-2,-26.3,,,
Bighorn Basin,PETM,CAB1-04-06,-28.4,31.2,2.8,
Bighorn Basin,PETM,CAB7-04-03,-26.3,29,,
Bighorn Basin,PETM,CAB7-04-02,-28.3,30.5,4,
Bighorn Basin,PETM,NUHS0819-14,-27.6,,,
Bighorn Basin,Paleocene,PS0901,-24.2,,,
Bighorn Basin,Paleocene,SW0904,-26.5,29,4.3,
Bighorn Basin,Paleocene,SLW0904,-26.2,29.50514884,3.939393625,0.04
Bighorn Basin,Paleocene,SLW0904 Lauraceae,-26.1,29.54653346,4.064439241,0.04
Bighorn Basin,Paleocene,SLW0904 Lauraceae Cuticle C,-25.9,29.45431663,3.807378948,0.07
Bighorn Basin,Paleocene,SW0803,-25.7,28.5,4.3,
Bighorn Basin,Paleocene,SLW0902,-25.7,28.86777407,3.996516673,0
Bighorn Basin,Paleocene,SW0801,-26.3,27.8,4.6,
Bighorn Basin,Paleocene,SLW0901,-26.6,28.74645001,4.274526694,0
Bighorn Basin,Paleocene,FAS0803,-25.6,29.1,4.1,
Bighorn Basin,Paleocene,FAS0801,-26.8,27.8,4.5,
Bighorn Basin,Paleocene,SCD C,-25.6,27.7,2.2,
Bighorn Basin,Paleocene,CAB3-04-07,-27.4,28.8,4.4,
Bighorn Basin,Paleocene,AFD-07-HC4,-25.9,28.71312364,3.517930069,0
Bighorn Basin,Paleocene,AFD-07-NHD2,-25.6,29.34226899,3.234702392,0.09
Bighorn Basin,Paleocene,CAB10A-0502,-27,28.34064514,2.921728761,0.01
Bighorn Basin,Paleocene,SLW0314,-27.7,28.56206051,3.781741039,0.02
Bighorn Basin,Paleocene,SLW0406,-26.9,28.78716753,3.93560674,0.01
Bighorn Basin,Paleocene,FAS0802,-25.6,29.4,3.6,
Bighorn Basin,Paleocene,CAB3-04-06,-25.8,28.7,4.7,
Bighorn Basin,Paleocene,PP0904,-25.6,29.2,4.4,
Bighorn Basin,Paleocene,BHB-02-026,-26.2,29.53329874,2.223514729,0.77
Bighorn Basin,Paleocene,BHB-02-027,-25.6,29.05922263,2.940129155,0.33
Bighorn Basin,Paleocene,BHB-02-032,-23.5,29.21437773,3.041140906,0.33
Bighorn Basin,Paleocene,BHB-02-033,-25.2,28.90082276,2.321074461,0.09
Bighorn Basin,Paleocene,BHB-02-016,-25.9,29.5747514,3.072762247,0.09
Bighorn Basin,Paleocene,BHB-02-017,-25.1,29.37002844,3.766165947,0.05
Bighorn Basin,Paleocene,BHB-02-024,-25.8,29.01843387,3.873274796,0.01
Bighorn Basin,Paleocene,BHB-02-025,-25,29.27721474,3.197844234,0.02
Bighorn Basin,Paleocene,BHB-02-004,-25.1,28.76089597,2.442929756,0.1
Bighorn Basin,Paleocene,BHB-02-005,-24.8,28.85226042,1.762968012,0.4
Bighorn Basin,Paleocene,BHB-02-006,-24.8,28.83136546,2.739433628,0.03
Bighorn Basin,Paleocene,BHB-02-008,-25.5,29.41871691,1.904065717,0.07
Bighorn Basin,Paleocene,BHB-02-010,-25.4,29.18349604,1.845421337,0.12
Bighorn Basin,Paleocene,BHB-02-011,-25.2,29.56668229,1.617729375,0.21
Bighorn Basin,Paleocene,BHB-02-012,-25.2,29.89511572,2.086402798,0.02
Bighorn Basin,Paleocene,BHB-02-001,-24.7,,,
Bighorn Basin,Paleocene,BHB-02-002,-25.7,,,
Bighorn Basin,Paleocene,BHB-02-003,-24.8,,,
Bighorn Basin,Paleocene,BHB-02-007,-24.8,,,
Bighorn Basin,Paleocene,BHB-02-009,-24.9,,,
Bighorn Basin,Paleocene,BHB-02-013,-24.8,,,
Bighorn Basin,Paleocene,BHB-02-014,-24.9,,,
Bighorn Basin,Paleocene,BHB-02-015,-25.2,,,
Bighorn Basin,Paleocene,BHB-02-018,-26.2,,,
Bighorn Basin,Paleocene,BHB-02-019,-25.8,,,
Bighorn Basin,Paleocene,BHB-02-020,-24.4,,,
Bighorn Basin,Paleocene,BHB-02-021,-24.6,,,
Bighorn Basin,Paleocene,BHB-02-022,-26.3,,,
Bighorn Basin,Paleocene,BHB-02-023,-25.5,,,
Bighorn Basin,Paleocene,BHB-02-028,-25.4,,,
Bighorn Basin,Paleocene,BHB-02-029,-25.5,,,
Bighorn Basin,Paleocene,BHB-02-030,-26,,,
Bighorn Basin,Paleocene,BHB-02-031,-25.3,,,
Bighorn Basin,Paleocene,BHB-02-034,-26,,,
Bighorn Basin,Paleocene,BHB-02-035,-25.5,,,
Bighorn Basin,Eocene,BHB-02-036,-26.2,,,
Bighorn Basin,Eocene,BHB-02-037,-26.5,,,
Bighorn Basin,Eocene,BHB-02-042,-26.7,,,
Bighorn Basin,Eocene,BHB-02-043,-26.5,,,
Bighorn Basin,Eocene,BHB-02-044,-27.3,,,
Bighorn Basin,Eocene,BHB-02-045,-26.9,,,
Bighorn Basin,Eocene,BHB-07-003,-25.3,,,
Bighorn Basin,Eocene,BHB-07-004,-26.1,,,
Bighorn Basin,Eocene,BHB-07-007,-25.3,,,
Bighorn Basin,Eocene,BHB-07-008,-26.8,,,
Bighorn Basin,Eocene,BHB-07-009,-25.5,,,
Bighorn Basin,Eocene,BHB-07-010,-26.3,,,
Hanna Basin,?,12-BCL-182M-FLE1S,,28.88640974,1.655570244,0.33
Hanna Basin,Eocene,HDR-002,-25.62,29.35206438,2.597682812,0.98
Hanna Basin,Eocene,HDR-004,-26.83,28.78807203,2.648961367,0.57
Hanna Basin,Eocene,HDR-007,-26.92,28.7647896,3.281032348,0
Hanna Basin,Eocene,HDR-010,-25.14,28.91310042,2.454142841,0.98
Hanna Basin,Eocene,HDR-013,-25.67,28.00065459,3.089254766,0.08
Hanna Basin,Eocene,HDR-014,-27.8,28.2242335,2.604911333,0.01
Hanna Basin,Eocene,HDR-017,-27.76,28.35714583,2.935027168,0.02
Hanna Basin,Eocene,HDR-022,-26.06,28.515,2.498614958,0.52
Hanna Basin,Eocene,HDR-027,-24.66,29.39697054,3.206519045,0.69
Hanna Basin,Eocene,HDR-029,-26.56,28.17531337,3.464777328,0.51
Hanna Basin,Eocene,HDR-031,-27.17,28.87956327,3.493365056,0.19
Hanna Basin,Eocene,HDR-032,-28.7,28.59712185,2.337076641,0.06
Hanna Basin,Eocene,HDR-035,-28.09,28.20009732,4.30607002,0
Hanna Basin,Eocene,HDR-037,-26.16,28.97452229,2.773273273,0.08
Hanna Basin,Paleocene,1-Jingo-FLE1S,,30.09833348,3.554460246,0.24
Hanna Basin,Eocene,2-BCL-1614-FLE1S,,30.50378898,3.352437418,0.01
Hanna Basin,Paleocene,3-LS1710-LEVELc-FLE1S,,30.09817849,2.670133499,0.03
Hanna Basin,PETM,4-LEVELD-FLE1S,,30.48311583,2.802469136,0
Hanna Basin,?,5-BC16-175M-FLE1S,,28.2026523,2.889416984,0.05
Hanna Basin,PETM,6-BC16-157M-FLE1S,,29.59956095,2.447576177,0.44
Hanna Basin,PETM,7-BC16-143M-FLE1S,,28.57155247,1.677484787,0.44
Hanna Basin,PETM,8-BC16-113M-FLE1S,,,,
Hanna Basin,PETM,9-BC16-61M-FLE1S,,30.0998308,1.65751634,0.04
Hanna Basin,PETM,10-BC16-50M-FLE1S,,30.15480226,2.651718472,0
Hanna Basin,?,13-BCL 102M-FLE1S,,29.76179517,1.832797428,0
Hanna Basin,?,14-BCL 82M-FLE1S,,29.69089913,3.795994994,0
Hanna Basin,?,15-BCL 13M-FLE1S,,29.01575084,4.284843921,0.01
Hanna Basin,Eocene,C89-AD,,,,
Hanna Basin,Eocene,C88-AD S,,,,
Hanna Basin,Eocene,C88-AD,,,,
Hanna Basin,Eocene,C87-AD,,,,
Hanna Basin,Eocene,RD1506,,,,
Hanna Basin,Eocene,RD1505,,,,
Hanna Basin,Eocene,RD1504,,,,
Hanna Basin,Eocene,EC1518,,,,
Hanna Basin,Eocene,RD1502,,,,
Hanna Basin,Eocene,15-HB MD,,,,
Hanna Basin,Eocene,EC1513,,,,
Hanna Basin,Eocene,EDC1501,,,,
Hanna Basin,Paleocene,EC1517,,,,
Hanna Basin,Paleocene,EC1516,,,,
Hanna Basin,Paleocene,EC1515,,,,