Basin,Epoch,unique_ID,values,ID
Bighorn Basin,Eocene,1,83.8,Diterpenoids
Bighorn Basin,Eocene,2,45.8,Diterpenoids
Bighorn Basin,Eocene,3,1.3,Diterpenoids
Bighorn Basin,Eocene,4,2.7,Diterpenoids
Bighorn Basin,Eocene,5,127,Diterpenoids
Bighorn Basin,Eocene,6,7.8,Diterpenoids
Bighorn Basin,Eocene,7,0.6,Diterpenoids
Bighorn Basin,Eocene,8,0.2,Diterpenoids
Bighorn Basin,Eocene,9,3.4,Diterpenoids
Bighorn Basin,Eocene,10,6.2,Diterpenoids
Bighorn Basin,Eocene,12,3.9,Diterpenoids
Bighorn Basin,Eocene,13,1.3,Diterpenoids
Bighorn Basin,Eocene,14,10.1,Diterpenoids
Bighorn Basin,Eocene,15,1.4,Diterpenoids
Bighorn Basin,Eocene,16,2.7,Diterpenoids
Bighorn Basin,Eocene,17,3,Diterpenoids
Bighorn Basin,Eocene,18,3.2,Diterpenoids
Bighorn Basin,Paleocene,19,20.4,Diterpenoids
Bighorn Basin,Paleocene,20,20,Diterpenoids
Bighorn Basin,Paleocene,21,29.3,Diterpenoids
Bighorn Basin,Paleocene,24,0.3,Diterpenoids
Bighorn Basin,Paleocene,25,22.2,Diterpenoids
Bighorn Basin,Paleocene,26,0.3,Diterpenoids
Bighorn Basin,Paleocene,27,10.1,Diterpenoids
Bighorn Basin,Paleocene,28,5.9,Diterpenoids
Bighorn Basin,Paleocene,29,19.9,Diterpenoids
Bighorn Basin,Paleocene,30,52.7,Diterpenoids
Bighorn Basin,Paleocene,31,4.4,Diterpenoids
Bighorn Basin,Paleocene,32,4.4,Diterpenoids
Bighorn Basin,Paleocene,33,13.4,Diterpenoids
Bighorn Basin,Paleocene,34,3.7,Diterpenoids
Bighorn Basin,Paleocene,35,0.1,Diterpenoids
Bighorn Basin,Paleocene,36,3.3,Diterpenoids
Bighorn Basin,Paleocene,37,1.6,Diterpenoids
Bighorn Basin,Paleocene,38,3.4,Diterpenoids
Bighorn Basin,Paleocene,39,0.6,Diterpenoids
Bighorn Basin,Paleocene,40,0.7,Diterpenoids
Bighorn Basin,Paleocene,41,2,Diterpenoids
Bighorn Basin,Paleocene,42,4.8,Diterpenoids
Bighorn Basin,Paleocene,43,0.4,Diterpenoids
Hanna Basin,Eocene,44,384.48,Diterpenoids
Hanna Basin,Eocene,45,15.78,Diterpenoids
Hanna Basin,Eocene,47,83.51,Diterpenoids
Hanna Basin,Eocene,48,0.04,Diterpenoids
Hanna Basin,Eocene,49,0.02,Diterpenoids
Hanna Basin,Eocene,50,0.05,Diterpenoids
Hanna Basin,Eocene,51,0.37,Diterpenoids
Hanna Basin,Eocene,52,8.16,Diterpenoids
Hanna Basin,Eocene,53,11.64,Diterpenoids
Hanna Basin,Eocene,54,0.98,Diterpenoids
Hanna Basin,Eocene,55,0.22,Diterpenoids
Hanna Basin,Eocene,56,0.01,Diterpenoids
Hanna Basin,Eocene,57,0.02,Diterpenoids
Hanna Basin,Paleocene,58,0.29,Diterpenoids
Hanna Basin,Eocene,59,0.01,Diterpenoids
Hanna Basin,Paleocene,60,0.01,Diterpenoids
Hanna Basin,PETM,62,3.7,Diterpenoids
Hanna Basin,PETM,63,0.01,Diterpenoids
Bighorn Basin,Eocene,1,10.3,Triterpenoids
Bighorn Basin,Eocene,2,27.4,Triterpenoids
Bighorn Basin,Eocene,3,8.8,Triterpenoids
Bighorn Basin,Eocene,4,1.9,Triterpenoids
Bighorn Basin,Eocene,5,23.3,Triterpenoids
Bighorn Basin,Eocene,6,7.1,Triterpenoids
Bighorn Basin,Eocene,7,19.3,Triterpenoids
Bighorn Basin,Eocene,8,9.6,Triterpenoids
Bighorn Basin,Eocene,9,2.6,Triterpenoids
Bighorn Basin,Eocene,10,9.1,Triterpenoids
Bighorn Basin,Eocene,12,6.1,Triterpenoids
Bighorn Basin,Eocene,14,0.2,Triterpenoids
Bighorn Basin,Eocene,15,1.9,Triterpenoids
Bighorn Basin,Eocene,16,0.7,Triterpenoids
Bighorn Basin,Paleocene,19,27.5,Triterpenoids
Bighorn Basin,Paleocene,20,48,Triterpenoids
Bighorn Basin,Paleocene,21,23.9,Triterpenoids
Bighorn Basin,Paleocene,22,55.9,Triterpenoids
Bighorn Basin,Paleocene,23,38.8,Triterpenoids
Bighorn Basin,Paleocene,24,12.5,Triterpenoids
Bighorn Basin,Paleocene,25,192.4,Triterpenoids
Bighorn Basin,Paleocene,26,2.3,Triterpenoids
Bighorn Basin,Paleocene,27,23.1,Triterpenoids
Bighorn Basin,Paleocene,28,4.8,Triterpenoids
Bighorn Basin,Paleocene,29,1.8,Triterpenoids
Bighorn Basin,Paleocene,30,1.2,Triterpenoids
Bighorn Basin,Paleocene,31,0.1,Triterpenoids
Bighorn Basin,Paleocene,32,1.7,Triterpenoids
Bighorn Basin,Paleocene,33,8.9,Triterpenoids
Bighorn Basin,Paleocene,34,27.8,Triterpenoids
Bighorn Basin,Paleocene,35,1.9,Triterpenoids
Bighorn Basin,Paleocene,36,110.5,Triterpenoids
Bighorn Basin,Paleocene,38,0.1,Triterpenoids
Bighorn Basin,Paleocene,39,1,Triterpenoids
Bighorn Basin,Paleocene,40,0.1,Triterpenoids
Bighorn Basin,Paleocene,43,1.2,Triterpenoids
Hanna Basin,Eocene,44,0.1,Triterpenoids
Hanna Basin,Eocene,45,0.1,Triterpenoids
Hanna Basin,Eocene,46,0.5,Triterpenoids
Hanna Basin,Eocene,48,0.1,Triterpenoids
Hanna Basin,Eocene,51,0.1,Triterpenoids
Hanna Basin,Eocene,53,0.1,Triterpenoids
Hanna Basin,Eocene,54,0.4,Triterpenoids
Hanna Basin,Eocene,55,0.2,Triterpenoids
Hanna Basin,Eocene,56,0.1,Triterpenoids
Hanna Basin,Eocene,59,0.2,Triterpenoids
Hanna Basin,PETM,61,0.3,Triterpenoids
Hanna Basin,PETM,62,0.7,Triterpenoids